MDDv2.3_Name,MDDv2.4_Name,Comment,Category,Reference
Thainycteris_aureocollaris,Arielulus_aureocollaris,moved from Thainycteris to Arielulus,genus change,"Zhukova, S. S., Yuzefovich, A. P., Kruskop, S. V., & Son, N. T. (2025). Black-Gilded Pipistrelles (Arielulus s. str., Vespertilionidae, Chiroptera) in Eastern Indochina. Mammal Study, 51(1)."
Thainycteris_torquata,Arielulus_torquatus,moved from Thainycteris to Arielulus,genus change,"Zhukova, S. S., Yuzefovich, A. P., Kruskop, S. V., & Son, N. T. (2025). Black-Gilded Pipistrelles (Arielulus s. str., Vespertilionidae, Chiroptera) in Eastern Indochina. Mammal Study, 51(1)."
Solenodon_arredondoi,Atopogale_arredondoi,moved from Solenodon to Atopogale,genus change,"Viñola-López, L. W., Almonte-Milán, J. N., Luthra, A., & Bloch, J. I. (2024). New Quaternary mammals support regional endemism in western Hispaniola. Journal of mammalian evolution, 31(2), 25."
Parotomys_brantsii,Otomys_brantsii,moved from Parotomys to Otomys,genus change,"Montgelard, C., Muller, T., Arnal, V., Maree, S., Taylor, P. J., Sands, A. F., ... & Matthee, C. A. (2023). Diversification and evolutionary history of the African laminated-toothed rats (Rodentia, Otomyini). Molecular Phylogenetics and Evolution, 183, 107779."
Parotomys_littledalei,Otomys_littledalei,moved from Parotomys to Otomys,genus change,"Montgelard, C., Muller, T., Arnal, V., Maree, S., Taylor, P. J., Sands, A. F., ... & Matthee, C. A. (2023). Diversification and evolutionary history of the African laminated-toothed rats (Rodentia, Otomyini). Molecular Phylogenetics and Evolution, 183, 107779."
Thainycteris,Arielulus,lumped into Arielulus,genus lump,"Zhukova, S. S., Yuzefovich, A. P., Kruskop, S. V., & Son, N. T. (2025). Black-Gilded Pipistrelles (Arielulus s. str., Vespertilionidae, Chiroptera) in Eastern Indochina. Mammal Study, 51(1)."
Parotomys,Otomys,lumped into Otomys,genus lump,"Montgelard, C., Muller, T., Arnal, V., Maree, S., Taylor, P. J., Sands, A. F., ... & Matthee, C. A. (2023). Diversification and evolutionary history of the African laminated-toothed rats (Rodentia, Otomyini). Molecular Phylogenetics and Evolution, 183, 107779."
Aotus_jorgehernandezi,Aotus_brumbacki,lumped into A. brumbacki,lump,"Montilla, S.O., García-Restrepo, S., Dubois, A., Link, A., & Ramírez-Chaves, H.E. 2025. _Aotus jorgehernandezi_ Defler & Bueno, 2007, a synonym of Aotus brumbacki Hershkovitz, 1983 (Mammalia, Primates). Bionomina 43(3):54-77. doi:10.11646/bionomina.43.3.3"
Chaetodipus_lineatus,Chaetodipus_nelsoni,lumped into C. nelsoni,lump,"Light, J. E., Siciliano-Martina, L., Morley, L., Castellanos, A. A., LaMonica, L., & Hafner, D. J. (2025). Taxonomic status of Chaetodipus lineatus and phylogeography of the Chaetodipus nelsoni species group. Journal of Mammalogy, 106(5), 1187-1198."
Dusicyon_avus,Dusicyon_australis,lumped into D. australis,lump,"Turvey, S. T., & Mychajliw, A. M. (2025). When taxonomy cries wolf: ancient DNA research must embrace species frameworks to define biodiversity loss through time. Biological Journal of the Linnean Society, 146(1), blaf091."
Petaurista_magnificus,Petaurista_albiventer,lumped into P. albiventer,lump,"Li, Q., Jackson, S. M., Li, X., Song, W., Chen, Z., Zhu, Z., ... & Jiang, X. (2025). Discovery of a new species of giant flying squirrel (Petaurista) from northwest Yunnan, China, sheds light on the origin and diversification of the genus. Zoological Journal of the Linnean Society, 205(1), zlaf106."
Petaurista_sybilla,Petaurista_marica,lumped into P. marica,lump,"Li, Q., Jackson, S. M., Li, X., Song, W., Chen, Z., Zhu, Z., ... & Jiang, X. (2025). Discovery of a new species of giant flying squirrel (Petaurista) from northwest Yunnan, China, sheds light on the origin and diversification of the genus. Zoological Journal of the Linnean Society, 205(1), zlaf106."
Petaurista_yunanensis,Petaurista_nobilis,lumped into P. nobilis,lump,"Li, Q., Jackson, S. M., Li, X., Song, W., Chen, Z., Zhu, Z., ... & Jiang, X. (2025). Discovery of a new species of giant flying squirrel (Petaurista) from northwest Yunnan, China, sheds light on the origin and diversification of the genus. Zoological Journal of the Linnean Society, 205(1), zlaf106."
Petaurista_mechukaensis,Petaurista_nobilis,lumped into P. nobilis,lump,"Li, Q., Jackson, S. M., Li, X., Song, W., Chen, Z., Zhu, Z., ... & Jiang, X. (2025). Discovery of a new species of giant flying squirrel (Petaurista) from northwest Yunnan, China, sheds light on the origin and diversification of the genus. Zoological Journal of the Linnean Society, 205(1), zlaf106."
Plecturocebus_stephennashi,Plecturocebus_caligatus,lumped into P. caligatus,lump,"Vermeer, J., Tello-Alvarado, J., Luna-Amancio, J., & Rylands, A. B. (2025). An Update on the Taxonomy and Geographic Distribution of the Northwestern Titi Monkeys, Genus Plecturocebus (Callicebinae). Primate Conservation, (39), 1-38."
Plecturocebus_aureipalatii,Plecturocebus_toppini,lumped into P. toppini,lump,"Vermeer, J., Tello-Alvarado, J., Luna-Amancio, J., & Rylands, A. B. (2025). An Update on the Taxonomy and Geographic Distribution of the Northwestern Titi Monkeys, Genus Plecturocebus (Callicebinae). Primate Conservation, (39), 1-38."
Plecturocebus_discolor,Plecturocebus_leucometopus,"name changed from P. discolor to P. leucometopus, as the name discolor is now considered a synonym of P. cupreus",name change,"Vermeer, J., Tello-Alvarado, J., Luna-Amancio, J., & Rylands, A. B. (2025). An Update on the Taxonomy and Geographic Distribution of the Northwestern Titi Monkeys, Genus Plecturocebus (Callicebinae). Primate Conservation, (39), 1-38."
NA,Andinocervus,recently described genus for Mazama rufina,new genus,"Ramírez-Chaves, H.E., Morales-Martínez, D.M., Cardona-Giraldo, A., Castellanos, O., Ospina, O., Ossa-López, P.A., Rivera-Páez, F.A. and Noguera-Urbano, E.A. 2025-10-17. Systematics of the dwarf red brocket, _Mazama rufina_ (Pucheran, 1851) (Mammalia: Artiodactyla: Cervidae), with the description of a new genus. Zootaxa 5711(2):223-240."
Tonatia_saurophila,NA,removed because the species is extinct and there is currently no evidence that the species survived into recent enough times for inclusion on the MDD,removed,NA
Arielulus_circumdatus,Arielulus_drungicus,split from A. circumdatus,split,"Zhukova, S. S., Yuzefovich, A. P., Kruskop, S. V., & Son, N. T. (2025). Black-Gilded Pipistrelles (Arielulus s. str., Vespertilionidae, Chiroptera) in Eastern Indochina. Mammal Study, 51(1)."
Arvicanthis_niloticus,Arvicanthis_mearnsi,split from A. niloticus,split,"Bryja, J., Colangelo, P., Lavrenchenko, L. A., Meheretu, Y., Šumbera, R., Bryjová, A., ... and Castiglia, R. 2019. Diversity and evolution of African grass rats (Muridae: _Arvicanthis_)—from radiation in East Africa to repeated colonization of northwestern and southeastern savannas. Journal of Zoological Systematics and Evolutionary Research 57(4):970-988."
Arvicanthis_niloticus,Arvicanthis_raffertyi,split from A. niloticus,split,"Bryja, J., Colangelo, P., Lavrenchenko, L. A., Meheretu, Y., Šumbera, R., Bryjová, A., ... and Castiglia, R. 2019. Diversity and evolution of African grass rats (Muridae: _Arvicanthis_)—from radiation in East Africa to repeated colonization of northwestern and southeastern savannas. Journal of Zoological Systematics and Evolutionary Research 57(4):970-988."
Arvicanthis_abyssinicus,Arvicanthis_saturatus,split from A. abyssinicus,split,"Bryja, J., Colangelo, P., Lavrenchenko, L. A., Meheretu, Y., Šumbera, R., Bryjová, A., ... and Castiglia, R. 2019. Diversity and evolution of African grass rats (Muridae: _Arvicanthis_)—from radiation in East Africa to repeated colonization of northwestern and southeastern savannas. Journal of Zoological Systematics and Evolutionary Research 57(4):970-988."
