sci_name,type_voucher,voucher_prefix,matched_abbreviation,issue
Rhinolophus_thailandensis,KUZ-M5000,KUZ-M5000,KUZ,prefix_missing_from_metadata
Rhinolophus_thomasi,BMNH:Mamm:1890.4.7.10,BMNH:MAMM:1890.4.7.10,BMNH,prefix_missing_from_metadata
Rhinolophus_trifoliatus,"RMNH.MAM.35194, ZMB 3280","RMNH.MAM.35194,",RMNH,prefix_missing_from_metadata
Rhinolophus_virgo,USNM:MAMM:101966,USNM:MAMM:101966,USNM,prefix_missing_from_metadata
Rhinolophus_webalai,FMNH:Mamm:215894,FMNH:MAMM:215894,FMNH,prefix_missing_from_metadata
Rhinolophus_willardi,FMNH:Mamm:195182,FMNH:MAMM:195182,FMNH,prefix_missing_from_metadata
Rhinolophus_yonghoiseni,SMF:MAMM:89139,SMF:MAMM:89139,SMF,prefix_missing_from_metadata
Rhinolophus_yunanensis,"BMNH:Mamm:1909.4.4.3, ZMB 4368","BMNH:MAMM:1909.4.4.3,",BMNH,prefix_missing_from_metadata
Rhinolophus_ziama,ZFMK:Mamm:1999.934,ZFMK:MAMM:1999.934,ZFMK,prefix_missing_from_metadata
Cloeotis_percivali,BMNH:Mamm:1901.5.1.11,BMNH:MAMM:1901.5.1.11,BMNH,prefix_missing_from_metadata
Paratriaenops_auritus,MCZ:Mamm:45080,MCZ:MAMM:45080,MCZ,prefix_missing_from_metadata
Paratriaenops_furcula,MNHN-ZM-MO-1912-40 (= MNHN:type:186),MNHN-ZM-MO-1912-40,MNHN,prefix_missing_from_metadata
Paratriaenops_pauliani,BMNH:Mamm:1913.2.18.1,BMNH:MAMM:1913.2.18.1,BMNH,prefix_missing_from_metadata
Rhinonicteris_aurantia,BMNH:Mamm:1845.5.13.3,BMNH:MAMM:1845.5.13.3,BMNH,prefix_missing_from_metadata
Triaenops_menamena,FMNH:Mamm:178563,FMNH:MAMM:178563,FMNH,prefix_missing_from_metadata
Triaenops_persicus,"BMNH:Mamm:1876.3.10.3, ZMB 4370, ZSI 15589, ZSI 15590","BMNH:MAMM:1876.3.10.3,",BMNH,prefix_missing_from_metadata
Rhinopoma_cystops,BMNH:Mamm:1902.1.17.2,BMNH:MAMM:1902.1.17.2,BMNH,prefix_missing_from_metadata
Rhinopoma_hardwickii,BMNH:Mamm:1e,BMNH:MAMM:1E,BMNH,prefix_missing_from_metadata
Rhinopoma_muscatellum,BMNH:Mamm:1894.3.9.17,BMNH:MAMM:1894.3.9.17,BMNH,prefix_missing_from_metadata
Manis_aurita,BMNH:Mamm:1843.1.12.85,BMNH:MAMM:1843.1.12.85,BMNH,prefix_missing_from_metadata
Manis_javanica,MNHN-ZM-2014-54,MNHN-ZM-2014-54,MNHN,prefix_missing_from_metadata
Smutsia_temminckii,RMNH.MAM.39311,RMNH.MAM.39311,RMNH,prefix_missing_from_metadata
Ailurus_fulgens,MNHN-ZM-2011-164,MNHN-ZM-2011-164,MNHN,prefix_missing_from_metadata
Ailurus_styani,BMNH:Mamm:1902.6.10.41,BMNH:MAMM:1902.6.10.41,BMNH,prefix_missing_from_metadata
Conepatus_amazonicus,BMNH:Mamm:68a,BMNH:MAMM:68A,BMNH,prefix_missing_from_metadata
Spilogale_angustifrons,USNM:MAMM:50825,USNM:MAMM:50825,USNM,prefix_missing_from_metadata
Spilogale_gracilis,USNM:MAMM:17986 (= USNM:MAMM:A24897),USNM:MAMM:17986,USNM,prefix_missing_from_metadata
Spilogale_leucoparia,USNM:MAMM:186452,USNM:MAMM:186452,USNM,prefix_missing_from_metadata
Spilogale_pygmaea,BMNH:Mamm:1898.3.2.24,BMNH:MAMM:1898.3.2.24,BMNH,prefix_missing_from_metadata
Mydaus_marchei,MNHN-ZM-MO-1884-1817,MNHN-ZM-MO-1884-1817,MNHN,prefix_missing_from_metadata
Martes_caurina,USNM:MAMM:186450,USNM:MAMM:186450,USNM,prefix_missing_from_metadata
Martes_gwatkinsii,BMNH:Mamm:1879.11.21.621,BMNH:MAMM:1879.11.21.621,BMNH,prefix_missing_from_metadata
Martes_melampus,"RMNH.MAM.39202, RMNH.MAM.39203, RMNH.MAM.39204, RMNH.MAM.45487, RMNH.MAM.54998","RMNH.MAM.39202,",RMNH,prefix_missing_from_metadata
Melogale_everetti,BMNH:Mamm:1895.1.23.3,BMNH:MAMM:1895.1.23.3,BMNH,prefix_missing_from_metadata
Melogale_moschata,"BMNH:Mamm:207a, BMNH:Mamm:71b","BMNH:MAMM:207A,",BMNH,prefix_missing_from_metadata
Melogale_personata,MNHN-ZM-MO-2001-315,MNHN-ZM-MO-2001-315,MNHN,prefix_missing_from_metadata
Melogale_subaurantiaca,"BMNH:Mamm:1862.12.24.22, RMNH.MAM.39193","BMNH:MAMM:1862.12.24.22,",BMNH,prefix_missing_from_metadata
Poecilogale_albinucha,BMNH:Mamm:1853.10.23.2,BMNH:MAMM:1853.10.23.2,BMNH,prefix_missing_from_metadata
Lyncodon_patagonicus,MNHN-ZM-AC-A2006,MNHN-ZM-AC-A2006,MNHN,prefix_missing_from_metadata
Lontra_annectens,BMNH:Mamm:1892.3.17.8,BMNH:MAMM:1892.3.17.8,BMNH,prefix_missing_from_metadata
Lontra_provocax,BMNH:Mamm:1903.11.5.14,BMNH:MAMM:1903.11.5.14,BMNH,prefix_missing_from_metadata
Lutra_perspicillata,MNHN-ZM-MO-2001-350,MNHN-ZM-MO-2001-350,MNHN,prefix_missing_from_metadata
Lutra_sumatrana,BMNH:Mamm:1884.6.3.4,BMNH:MAMM:1884.6.3.4,BMNH,prefix_missing_from_metadata
Meles_anakuma,"RMNH.MAM.39194, RMNH.MAM.39195, RMNH.MAM.39196, RMNH.MAM.39197, RMNH.MAM.39198, RMNH.MAM.39199","RMNH.MAM.39194,",RMNH,prefix_missing_from_metadata
